TITLE = "DVConstraints Data"
VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="DVCon1_volume_constraint_0" I=20 J=20 K=2
DATAPACKING=POINT
0.010000 -0.004841 1.383778
0.117778 0.048346 1.383778
0.117778 -0.013656 1.383778
0.225556 0.063251 1.383778
0.225556 -0.012770 1.383778
0.333333 0.068296 1.383778
0.333333 -0.010516 1.383778
0.441111 0.067168 1.383778
0.441111 -0.005376 1.383778
0.548889 0.061298 1.383778
0.548889 0.002515 1.383778
0.656667 0.051027 1.383778
0.656667 0.009911 1.383778
0.764444 0.038382 1.383778
0.764444 0.014394 1.383778
0.872222 0.024227 1.383778
0.872222 0.013596 1.383778
0.980000 0.004934 1.383778
0.980000 0.002970 1.383778
0.010000 0.014965 1.660333
0.010000 -0.004841 1.660333
0.117778 0.048346 1.660333
0.117778 -0.013656 1.660333
0.225556 0.063251 1.660333
0.225556 -0.012770 1.660333
0.333333 0.068296 1.660333
0.333333 -0.010516 1.660333
0.441111 0.067168 1.660333
0.441111 -0.005376 1.660333
0.548889 0.061298 1.660333
0.548889 0.002515 1.660333
0.656667 0.051027 1.660333
0.656667 0.009911 1.660333
0.764444 0.038382 1.660333
0.764444 0.014394 1.660333
0.872222 0.024227 1.660333
0.872222 0.013596 1.660333
0.980000 0.004934 1.660333
0.980000 0.002970 1.660333
0.010000 0.014965 1.936889
0.010000 -0.004841 1.936889
0.117778 0.048346 1.936889
0.117778 -0.013656 1.936889
0.225556 0.063251 1.936889
0.225556 -0.012770 1.936889
0.333333 0.068296 1.936889
0.333333 -0.010516 1.936889
0.441111 0.067168 1.936889
0.441111 -0.005376 1.936889
0.548889 0.061298 1.936889
0.548889 0.002515 1.936889
0.656667 0.051027 1.936889
0.656667 0.009911 1.936889
0.764444 0.038382 1.936889
0.764444 0.014394 1.936889
0.872222 0.024227 1.936889
0.872222 0.013596 1.936889
0.980000 0.004934 1.936889
0.980000 0.002970 1.936889
0.010000 0.014965 2.213444
0.010000 -0.004841 2.213444
0.117778 0.048346 2.213444
0.117778 -0.013656 2.213444
0.225556 0.063251 2.213444
0.225556 -0.012770 2.213444
0.333333 0.068296 2.213444
0.333333 -0.010516 2.213444
0.441111 0.067168 2.213444
0.441111 -0.005376 2.213444
0.548889 0.061298 2.213444
0.548889 0.002515 2.213444
0.656667 0.051027 2.213444
0.656667 0.009911 2.213444
0.764444 0.038382 2.213444
0.764444 0.014394 2.213444
0.872222 0.024227 2.213444
0.872222 0.013596 2.213444
0.980000 0.004934 2.213444
0.980000 0.002970 2.213444
0.010000 0.014965 2.490000
0.010000 -0.004841 2.490000
0.117778 0.048346 2.490000
0.117778 -0.013656 2.490000
0.225556 0.063251 2.490000
0.225556 -0.012770 2.490000
0.333333 0.068296 2.490000
0.333333 -0.010516 2.490000
0.441111 0.067168 2.490000
0.441111 -0.005376 2.490000
0.548889 0.061298 2.490000
0.548889 0.002515 2.490000
0.656667 0.051027 2.490000
0.656667 0.009911 2.490000
0.764444 0.038382 2.490000
0.764444 0.014394 2.490000
0.872222 0.024227 2.490000
0.872222 0.013596 2.490000
0.980000 0.004934 2.490000
0.980000 0.002970 2.490000
1 2
3 4
5 6
7 8
9 10
11 12
13 14
15 16
17 18
19 20
21 22
23 24
25 26
27 28
29 30
31 32
33 34
35 36
37 38
39 40
41 42
43 44
45 46
47 48
49 50
51 52
53 54
55 56
57 58
59 60
61 62
63 64
65 66
67 68
69 70
71 72
73 74
75 76
77 78
79 80
81 82
83 84
85 86
87 88
89 90
91 92
93 94
95 96
97 98
99 100
101 102
103 104
105 106
107 108
109 110
111 112
113 114
115 116
117 118
119 120
121 122
123 124
125 126
127 128
129 130
131 132
133 134
135 136
137 138
139 140
141 142
143 144
145 146
147 148
149 150
151 152
153 154
155 156
157 158
159 160
161 162
163 164
165 166
167 168
169 170
171 172
173 174
175 176
177 178
179 180
181 182
183 184
185 186
187 188
189 190
191 192
193 194
195 196
197 198
199 200
Zone T=DVCon1_lete_constraint_0_local
Nodes = 16, Elements = 8 ZONETYPE=FELINESEG
DATAPACKING=POINT
-0.100000 -0.250000 -0.010000
-0.100000 0.250000 -0.010000
-0.100000 -0.250000 0.540253
-0.100000 0.250000 0.540253
-0.100000 -0.250000 0.948045
-0.100000 0.250000 0.948045
-0.100000 -0.250000 1.315132
-0.100000 0.250000 1.315132
-0.100000 -0.250000 1.658054
-0.100000 0.250000 1.658054
-0.100000 -0.250000 1.984059
-0.100000 0.250000 1.984059
-0.100000 -0.250000 2.297188
-0.100000 0.250000 2.297188
-0.100000 -0.250000 2.600000
-0.100000 0.250000 2.600000
1 2
3 4
5 6
7 8
9 10
11 12
13 14
15 16
Zone T=DVCon1_lete_constraint_1_local
Nodes = 16, Elements = 8 ZONETYPE=FELINESEG
DATAPACKING=POINT
1.100000 -0.250000 -0.010000
1.100000 0.250000 -0.010000
1.100000 -0.250000 0.540253
1.100000 0.250000 0.540253
1.100000 -0.250000 0.948045
1.100000 0.250000 0.948045
1.100000 -0.250000 1.315132
1.100000 0.250000 1.315132
1.100000 -0.250000 1.658054
1.100000 0.250000 1.658054
1.100000 -0.250000 1.984059
1.100000 0.250000 1.984059
1.100000 -0.250000 2.297188
1.100000 0.250000 2.297188
1.100000 -0.250000 2.600000
1.100000 0.250000 2.600000
1 2
3 4
5 6
7 8
9 10
11 12
13 14
15 16
